title,price,image_urls,discount
Tiitan</br> Smartphone,₹478                                             ,https://cdn.shopclues.com/images1/thumbnails/103595/280/1/148252594-103595472-1573211386.jpg,76% Off
Smartphones </br>Mania,₹499,https://cdn.shopclues.com/images1/thumbnails/81476/280/1/135627858-81476269-1619845151.jpg,35% Off
Feature</br>Phones,₹646                                             ,https://cdn.shopclues.com/images1/thumbnails/108304/280/1/150274047-108304383-1598424782.jpg,48% Off
Refurbished</br>Gadgest,₹699,https://cdn.shopclues.com/images1/thumbnails/99805/280/1/145858527-99805765-1557233120.jpg,61% Off
Tablets</br>Upto 60% Off,₹778                                             ,https://cdn.shopclues.com/images1/thumbnails/113040/280/1/151938797-113040784-1611993235.jpg,15% Off
I Kall K100 1.8 Inch Display Dual Sim Feature Phone,₹799,https://cdn.shopclues.com/images1/thumbnails/114425/280/1/152399210-114425718-1623737729.jpg,45% Off
MTR MT310 Dual Sim Feature Phone,"₹38,419                                             ",https://cdn.shopclues.com/images1/thumbnails/114667/280/1/152513441-114667678-1626353257.jpg,47% Off
I KALL K18 New 24 Inches61cm Display Dual Sim Feature Phone,"₹39,619",https://cdn.shopclues.com/images/thumbnails/73727/280/1/118022912K3310OF1496482924.png,41% Off
Apple iPhone X 256 Gb Refurbished White,"₹7,599                                             ",https://cdn.shopclues.com/images1/thumbnails/88950/280/1/139392204-88950840-1528975815.jpg,49% Off
Redmi 9A 2GB 32GB (Nature Green),"₹8,799",https://cdn.shopclues.com/images1/thumbnails/113508/280/1/152122375-113508229-1616752923.jpg,10% Off
(Refurbished) Redmi 6 ( 32 GB) (3 GB RAM),"₹4,991                                             ",https://cdn.shopclues.com/images1/thumbnails/115002/280/1/152622930-115002406-1629354287.jpg,42% Off
"I KALL N5 Calling Tablet (7 Inch, 2GB Ram, 16GB Storage, Android 9.0, 4G Dual Sim Calling and WiFi)","₹5,899",https://cdn.shopclues.com/images1/thumbnails/111746/280/1/151308684-111746888-1629178179.jpg,52% Off
Ikall K3310 1.8 inches (4.57 cm) Dual Sim Mobile Phone,"₹4,689                                             ",https://cdn.shopclues.com/images1/thumbnails/90450/280/1/139997776-90450018-1532258653.jpg,77% Off
KECHAODA K115 MINI CARD SIZE LIGHT WEIGHT DUAL SIM MOBILE WITH CAMERA,"₹5,329",https://cdn.shopclues.com/images1/thumbnails/88966/280/1/139398340-88966621-1529055067.jpg,52% Off
Redmi 9 6.53 inch (16.59 cm) 4 GB RAM 64 GB ROM Dual Sim Smartphone (Mighty Black),₹588                                             ,https://cdn.shopclues.com/images1/thumbnails/113794/280/1/152213252-113794193-1619002101.jpg,9% Off
I Kall N3 4 GB 32 GB 7 inch with Android 9.0 Wi-Fi+4G Tablet,₹589,https://cdn.shopclues.com/images1/thumbnails/114667/280/1/152513459-114667761-1626355221.jpg,25% Off
Refurbished Nokia 1110 / Good Condition/ Certified Pre Owned,"₹1,018                                             ",https://cdn.shopclues.com/images1/thumbnails/114974/280/1/152612676-114974808-1628772560.jpg,17% Off
Apple 4s (A1387) 3.5 inches(8.89 cm) Display 1 GHz Processor Imported Smart Phone,"₹1,119",https://cdn.shopclues.com/images/thumbnails/83642/280/1/127744166k1151505218250.jpg,66% Off
"Kechaodo K10 Single Sim Mobile With 0.66 Inch Display, 300mAh Battery, Bluetooth Dailer , Wireless FM","₹12,568                                             ",https://cdn.shopclues.com/images1/thumbnails/108506/280/1/150342292-108506846-1595017758.jpg,15% Off
"OPPO A54 (4 GB RAM, 64 GB ROM)","₹13,569",https://cdn.shopclues.com/images/thumbnails/44853/280/1/112968633-44853047-1523947554.jpg,40% Off
"I KALL N13 New 7 Inch 4G Dual Sim Smart Tablet with Android 9.0 Pie (Black, 2GB Ram, 16GB Storage)","₹5,718                                             ",https://cdn.shopclues.com/images1/thumbnails/114531/280/1/152444812-114531915-1625125541.jpg,13% Off
(Refurbished) Redmi 6A 16 GB ROM 2 GB RAM Dual Sim Smartphone,"₹6,499",https://cdn.shopclues.com/images1/thumbnails/114974/280/1/152612673-114974788-1628772533.jpg,38% Off
"KECHAODA K115 DUAL SIM, Music and Camera Flash light (6 Months Seller Warranty)",₹940                                             ,https://cdn.shopclues.com/images/thumbnails/79076/280/1/134308473-79076516-1518426397.jpg,32% Off
Refurbished  Nokia 1600 Black Mobile Phone,₹989,https://cdn.shopclues.com/images1/thumbnails/74865/280/1/131046271-74865163-1552367251.jpg,79% Off
